year,design,park_url,park_name,n_rides
1928,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1928,sit_down,https://rcdb.com/4553.htm,kennywood,3
1928,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1928,sit_down,https://rcdb.com/4570.htm,lagoon,1
1928,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1928,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1928,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1928,sit_down,https://rcdb.com/9250.htm,luna_park,1
1929,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1929,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1929,sit_down,https://rcdb.com/4553.htm,kennywood,3
1929,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1929,sit_down,https://rcdb.com/4570.htm,lagoon,1
1929,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1929,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1929,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1929,sit_down,https://rcdb.com/9250.htm,luna_park,1
1930,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1930,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1930,sit_down,https://rcdb.com/4553.htm,kennywood,3
1930,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1930,sit_down,https://rcdb.com/4570.htm,lagoon,1
1930,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1930,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1930,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1930,sit_down,https://rcdb.com/9250.htm,luna_park,1
1931,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1931,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1931,sit_down,https://rcdb.com/4553.htm,kennywood,3
1931,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1931,sit_down,https://rcdb.com/4570.htm,lagoon,1
1931,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1931,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1931,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1931,sit_down,https://rcdb.com/9250.htm,luna_park,1
1932,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1932,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1932,sit_down,https://rcdb.com/4553.htm,kennywood,3
1932,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1932,sit_down,https://rcdb.com/4570.htm,lagoon,1
1932,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1932,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1932,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1932,sit_down,https://rcdb.com/9250.htm,luna_park,1
1933,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1933,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1933,sit_down,https://rcdb.com/4553.htm,kennywood,3
1933,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,3
1933,sit_down,https://rcdb.com/4570.htm,lagoon,1
1933,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1933,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1933,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1933,sit_down,https://rcdb.com/9250.htm,luna_park,1
1934,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1934,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1934,sit_down,https://rcdb.com/4553.htm,kennywood,3
1934,sit_down,https://rcdb.com/4570.htm,lagoon,1
1934,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1934,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1934,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1934,sit_down,https://rcdb.com/9250.htm,luna_park,1
1935,sit_down,https://rcdb.com/4529.htm,cedar_point,3
1935,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1935,sit_down,https://rcdb.com/4553.htm,kennywood,3
1935,sit_down,https://rcdb.com/4570.htm,lagoon,1
1935,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1935,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1935,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1935,sit_down,https://rcdb.com/9250.htm,luna_park,1
1936,sit_down,https://rcdb.com/4529.htm,cedar_point,2
1936,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1936,sit_down,https://rcdb.com/4553.htm,kennywood,3
1936,sit_down,https://rcdb.com/4570.htm,lagoon,1
1936,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1936,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1936,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1936,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1936,sit_down,https://rcdb.com/9250.htm,luna_park,1
1937,sit_down,https://rcdb.com/4529.htm,cedar_point,2
1937,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1937,sit_down,https://rcdb.com/4553.htm,kennywood,3
1937,sit_down,https://rcdb.com/4570.htm,lagoon,1
1937,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1937,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1937,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1937,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1937,sit_down,https://rcdb.com/9250.htm,luna_park,1
1938,sit_down,https://rcdb.com/4529.htm,cedar_point,2
1938,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1938,sit_down,https://rcdb.com/4553.htm,kennywood,3
1938,sit_down,https://rcdb.com/4570.htm,lagoon,1
1938,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1938,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1938,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1938,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1938,sit_down,https://rcdb.com/9250.htm,luna_park,1
1939,sit_down,https://rcdb.com/4529.htm,cedar_point,2
1939,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1939,sit_down,https://rcdb.com/4553.htm,kennywood,3
1939,sit_down,https://rcdb.com/4570.htm,lagoon,1
1939,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1939,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1939,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1939,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1939,sit_down,https://rcdb.com/9250.htm,luna_park,1
1940,sit_down,https://rcdb.com/4529.htm,cedar_point,2
1940,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1940,sit_down,https://rcdb.com/4553.htm,kennywood,3
1940,sit_down,https://rcdb.com/4570.htm,lagoon,1
1940,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1940,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1940,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1940,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1940,sit_down,https://rcdb.com/9250.htm,luna_park,1
1941,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1941,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1941,sit_down,https://rcdb.com/4553.htm,kennywood,3
1941,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1941,sit_down,https://rcdb.com/4570.htm,lagoon,1
1941,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1941,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1941,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1941,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1941,sit_down,https://rcdb.com/9250.htm,luna_park,1
1942,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1942,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1942,sit_down,https://rcdb.com/4553.htm,kennywood,3
1942,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1942,sit_down,https://rcdb.com/4570.htm,lagoon,1
1942,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1942,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1942,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1942,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1942,sit_down,https://rcdb.com/9250.htm,luna_park,1
1943,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1943,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1943,sit_down,https://rcdb.com/4553.htm,kennywood,3
1943,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1943,sit_down,https://rcdb.com/4570.htm,lagoon,1
1943,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1943,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1943,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1943,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1943,sit_down,https://rcdb.com/9250.htm,luna_park,1
1944,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1944,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1944,sit_down,https://rcdb.com/4553.htm,kennywood,3
1944,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1944,sit_down,https://rcdb.com/4570.htm,lagoon,1
1944,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1944,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1944,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1944,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1944,sit_down,https://rcdb.com/9250.htm,luna_park,1
1945,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1945,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1945,sit_down,https://rcdb.com/4553.htm,kennywood,3
1945,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1945,sit_down,https://rcdb.com/4570.htm,lagoon,1
1945,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1945,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1945,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1945,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1945,sit_down,https://rcdb.com/9250.htm,luna_park,1
1946,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1946,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1946,sit_down,https://rcdb.com/4553.htm,kennywood,3
1946,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1946,sit_down,https://rcdb.com/4570.htm,lagoon,1
1946,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1946,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1946,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1946,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1946,sit_down,https://rcdb.com/9250.htm,luna_park,1
1947,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1947,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1947,sit_down,https://rcdb.com/4553.htm,kennywood,3
1947,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1947,sit_down,https://rcdb.com/4570.htm,lagoon,1
1947,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1947,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1947,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1947,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1947,sit_down,https://rcdb.com/9250.htm,luna_park,1
1948,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1948,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1948,sit_down,https://rcdb.com/4553.htm,kennywood,3
1948,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1948,sit_down,https://rcdb.com/4570.htm,lagoon,1
1948,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1948,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
1948,sit_down,https://rcdb.com/4602.htm,canobie_lake_park,1
1948,sit_down,https://rcdb.com/4683.htm,lake_compounce,1
1948,sit_down,https://rcdb.com/9250.htm,luna_park,1
1949,sit_down,https://rcdb.com/4529.htm,cedar_point,1
1949,sit_down,https://rcdb.com/4545.htm,hersheypark,1
1949,sit_down,https://rcdb.com/4553.htm,kennywood,3
1949,sit_down,https://rcdb.com/4565.htm,six_flags_new_england,1
1949,sit_down,https://rcdb.com/4570.htm,lagoon,1
1949,sit_down,https://rcdb.com/4573.htm,santa_cruz_beach_boardwalk,1
1949,sit_down,https://rcdb.com/4588.htm,dorney_park_and_wildwater_kingdom,1
