ride_name,park_name,Length,Height,Speed,ride_url,length.ft,height.ft,speed.mph
Ravine Flyer II,Waldameer,2900 ft,80 ft,57 mph,https://rcdb.com/3917.htm,2900,80,57
Cyclops,Mt. Olympus Water &amp; Theme Park,1900 ft,70 ft,58 mph,https://rcdb.com/161.htm,1900,70,58
Zeus,Mt. Olympus Water &amp; Theme Park,2900 ft,90 ft,60 mph,https://rcdb.com/280.htm,2900,90,60
Hades 360,Mt. Olympus Water &amp; Theme Park,4746 ft,136 ft,60 mph,https://rcdb.com/2667.htm,4746,136,60
Opa,Mt. Olympus Water &amp; Theme Park,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/3386.htm,1377.9,42.7,29.1
Timberhawk: Ride of Prey,Wild Waves Theme &amp; Water Park,2600 ft,75 ft,50 mph,https://rcdb.com/1862.htm,2600,75,50
Bobsleds,Seabreeze,1240 ft,31 ft,23 mph,https://rcdb.com/228.htm,1240,31,23
Whirlwind,Seabreeze,1391.1 ft,50.8 ft,37.3 mph,https://rcdb.com/2315.htm,1391.1,50.8,37.3
Quantum Loop,Seabreeze,2822 ft,59.1 ft,56 mph,https://rcdb.com/454.htm,2822,59.1,56
Chip &amp; Dale’s Gadget Coaster,Disneyland,679.1 ft,27.9 ft,21.7 mph,https://rcdb.com/295.htm,679.1,27.9,21.7
Revenge of the Mummy,Universal Studios Florida,2200 ft,44.4 ft,40 mph,https://rcdb.com/2232.htm,2200,44.4,40
"Hollywood Rip, Ride, Rockit",Universal Studios Florida,3800 ft,167 ft,65 mph,https://rcdb.com/3866.htm,3800,167,65
Woody Woodpecker's Nuthouse Coaster,Universal Studios Florida,679.2 ft,27.9 ft,21.7 mph,https://rcdb.com/563.htm,679.2,27.9,21.7
Swamp Fox,Family Kingdom Amusement Park,2640 ft,72 ft,50 mph,https://rcdb.com/337.htm,2640,72,50
Crazy Mouse,Niagara Amusement Park &amp; Splash World,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/2983.htm,1377.9,42.7,29.1
Galaxy Spin,Fun Spot America,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/9207.htm,1377.9,42.7,29.1
Mine Blower,Fun Spot America,2290 ft,83 ft,48.5 mph,https://rcdb.com/14554.htm,2290,83,48.5
Hot Tamales,Casino Pier,196.8 ft,11.8 ft,14.1 mph,https://rcdb.com/2262.htm,196.8,11.8,14.1
Hydrus,Casino Pier,1050 ft,72 ft,45 mph,https://rcdb.com/14231.htm,1050,72,45
Jet Star,Casino Pier,1765.1 ft,44.3 ft,31.1 mph,https://rcdb.com/344.htm,1765.1,44.3,31.1
GaleForce,Playland's Castaway Cove,1269 ft,125 ft,64 mph,https://rcdb.com/13346.htm,1269,125,64
Wild West Express,Glenwood Caverns Adventure Park,197.5 ft,10.8 ft,16.2 mph,https://rcdb.com/10463.htm,197.5,10.8,16.2
Rampage,Alabama Adventure &amp; Splash Adventure,3500 ft,120 ft,56 mph,https://rcdb.com/475.htm,3500,120,56
Zoomerang,Alabama Adventure &amp; Splash Adventure,935 ft,116.5 ft,47 mph,https://rcdb.com/2953.htm,935,116.5,47
King Kobra,Jolly Roger Amusement Park,722 ft,137.8 ft,53 mph,https://rcdb.com/638.htm,722,137.8,53
Time Twister,Jolly Roger Amusement Park,2398.3 ft,75 ft,40 mph,https://rcdb.com/1363.htm,2398.3,75,40
Wild Mouse,Jolly Roger Amusement Park,1213.9 ft,49.3 ft,28 mph,https://rcdb.com/1815.htm,1213.9,49.3,28
Sea Viper,Palace Playland,1509.2 ft,68.8 ft,41.1 mph,https://rcdb.com/15462.htm,1509.2,68.8,41.1
Yankee Cannonball,Canobie Lake Park,2000 ft,63.5 ft,35 mph,https://rcdb.com/298.htm,2000,63.5,35
Untamed,Canobie Lake Park,1184.4 ft,72.2 ft,43.5 mph,https://rcdb.com/9517.htm,1184.4,72.2,43.5
Crazy Mouse,Tropic Falls Theme Park,1036.8 ft,36.1 ft,29.2 mph,https://rcdb.com/14399.htm,1036.8,36.1,29.2
Rollin' Thunder,Tropic Falls Theme Park,2234.3 ft,114.8 ft,55.9 mph,https://rcdb.com/14400.htm,2234.3,114.8,55.9
Rudy's Rapid Transit,Santa's Village,1181.1 ft,26.3 ft,22.4 mph,https://rcdb.com/390.htm,1181.1,26.3,22.4
Rattlesnake Coaster,Adventureland,652.9 ft,19.7 ft,19.9 mph,https://rcdb.com/619.htm,652.9,19.7,19.9
Turbulence,Adventureland,1253.3 ft,55 ft,40 mph,https://rcdb.com/12224.htm,1253.3,55,40
Hurricane,Adventureland,1427 ft,59 ft,35 mph,https://rcdb.com/409.htm,1427,59,35
Crazy Mouse,Steel Pier,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/458.htm,1377.9,42.7,29.1
Hurricane Coaster,Fun Spot America Atlanta,900 ft,38 ft,35 mph,https://rcdb.com/3684.htm,900,38,35
ArieForce One,Fun Spot America Atlanta,3400 ft,155 ft,64 mph,https://rcdb.com/19332.htm,3400,155,64
Freedom Flyer,Fun Spot America,1295.9 ft,64.3 ft,34.2 mph,https://rcdb.com/10347.htm,1295.9,64.3,34.2
White Lightning,Fun Spot America,2032 ft,69.7 ft,44.3 mph,https://rcdb.com/10348.htm,2032,69.7,44.3
Dragon,Legoland Florida,1496.1 ft,42.7 ft,28.5 mph,https://rcdb.com/2737.htm,1496.1,42.7,28.5
Coastersaurus,Legoland Florida,1365 ft,40 ft,32 mph,https://rcdb.com/2746.htm,1365,40,32
Great Lego Race,Legoland Florida,1312.3 ft,51.8 ft,35 mph,https://rcdb.com/9526.htm,1312.3,51.8,35
Flying School,Legoland Florida,1122 ft,48.6 ft,26 mph,https://rcdb.com/2718.htm,1122,48.6,26
Galaxy Spin,Legoland Florida,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/3105.htm,1377.9,42.7,29.1
Super Cyclone,Santa's Village AZoosment Park,1148.3 ft,32.8 ft,30 mph,https://rcdb.com/14450.htm,1148.3,32.8,30
Typhoon,Santa's Village AZoosment Park,1775 ft,63 ft,45 mph,https://rcdb.com/497.htm,1775,63,45
Giant Dipper,Santa Cruz Beach Boardwalk,2640 ft,70 ft,55 mph,https://rcdb.com/204.htm,2640,70,55
Undertow,Santa Cruz Beach Boardwalk,1410 ft,50 ft,40 mph,https://rcdb.com/10930.htm,1410,50,40
Kingdom Coaster,Dutch Wonderland,2000 ft,55 ft,40 mph,https://rcdb.com/251.htm,2000,55,40
Thunderbolt Express,Camden Park,635 ft,56 ft,45 mph,https://rcdb.com/314.htm,635,56,45
Revenge of the Mummy the Ride,Universal Studios Hollywood,1906 ft,44.4 ft,40 mph,https://rcdb.com/2464.htm,1906,44.4,40
New Mexico Rattler,Cliff's Amusement Park,2750 ft,80 ft,47 mph,https://rcdb.com/1659.htm,2750,80,47
Phoenix,Deno's Wonder Wheel Amusement Park,1220.5 ft,68 ft,34 mph,https://rcdb.com/18886.htm,1220.5,68,34
Matugani,Lost Island Theme Park,1443.5 ft,78.7 ft,46.6 mph,https://rcdb.com/18326.htm,1443.5,78.7,46.6
Nopuko Air Coaster,Lost Island Theme Park,2509.8 ft,109.3 ft,49.7 mph,https://rcdb.com/18891.htm,2509.8,109.3,49.7
Technic Coaster,Legoland California,1312.3 ft,51.8 ft,35 mph,https://rcdb.com/1144.htm,1312.3,51.8,35
Coastersaurus,Legoland California,492.2 ft,18.1 ft,20.5 mph,https://rcdb.com/2614.htm,492.2,18.1,20.5
Kentucky Rumbler,Beech Bend,2827 ft,96 ft,47.3 mph,https://rcdb.com/2967.htm,2827,96,47.3
Wild Mouse,Beech Bend,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/2968.htm,1377.9,42.7,29.1
Excalibur,Funtown Splashtown U.S.A.,2700 ft,100 ft,55 mph,https://rcdb.com/471.htm,2700,100,55
Wild Mouse,Funtown Splashtown U.S.A.,1213.9 ft,49.3 ft,28 mph,https://rcdb.com/4318.htm,1213.9,49.3,28
Crazy Mouse,DelGrosso's Amusement Park,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/2597.htm,1377.9,42.7,29.1
unknown,DelGrosso's Amusement Park,1565 ft,70 ft,55 mph,https://rcdb.com/3606.htm,1565,70,55
Cannon Ball,Lake Winnepesaukah,2272 ft,70 ft,50 mph,https://rcdb.com/348.htm,2272,70,50
Merlin's Revenge,Castle Park,679.1 ft,27.9 ft,21.7 mph,https://rcdb.com/1032.htm,679.1,27.9,21.7
Cinder Roller Coaster,Storybook Land,370.7 ft,23 ft,18.6 mph,https://rcdb.com/20267.htm,370.7,23,18.6
Wooden Warrior,Quassy Amusement Park,1239 ft,32 ft,35 mph,https://rcdb.com/4495.htm,1239,32,35
Tidal Wave,Jenkinson's Boardwalk,393.7 ft,20 ft,11.2 mph,https://rcdb.com/16771.htm,393.7,20,11.2
Roar-O-Saurus,Story Land,1240 ft,40 ft,33 mph,https://rcdb.com/11611.htm,1240,40,33
Rewind Racers,Adventure City,593.8 ft,39.3 ft,31.1 mph,https://rcdb.com/10976.htm,593.8,39.3,31.1
Barreling Rapids,Austin's Park,393.7 ft,20 ft,11.2 mph,https://rcdb.com/18856.htm,393.7,20,11.2
Adrenaline Peak,Oaks Amusement Park,1050 ft,72 ft,45 mph,https://rcdb.com/15410.htm,1050,72,45
Classic Coaster,Washington State Fair,2650 ft,55 ft,50 mph,https://rcdb.com/257.htm,2650,55,50
Rainier Rush,Washington State Fair,1775 ft,63 ft,45 mph,https://rcdb.com/6478.htm,1775,63,45
Quicksilver Express,Gilroy Gardens Family Theme Park,2139 ft,38 ft,32 mph,https://rcdb.com/737.htm,2139,38,32
Hell Cat,Clementon Park,2602 ft,110 ft,56 mph,https://rcdb.com/2586.htm,2602,110,56
Rock 'n' Roller Coaster,Walt Disney World - Disney's Hollywood Studios,3267.7 ft,80 ft,57 mph,https://rcdb.com/560.htm,3267.7,80,57
Canyon Blaster,Adventuredome,2423 ft,94 ft,41 mph,https://rcdb.com/104.htm,2423,94,41
El Loco,Adventuredome,1300 ft,90 ft,45 mph,https://rcdb.com/11450.htm,1300,90,45
Sea Dragon,Columbus Zoo and Aquarium,1320 ft,35 ft,25 mph,https://rcdb.com/324.htm,1320,35,25
Tidal Twist,Columbus Zoo and Aquarium,1066 ft,36 ft,30 mph,https://rcdb.com/19230.htm,1066,36,30
Tidal Wave,Trimper Rides,935 ft,116.5 ft,47 mph,https://rcdb.com/300.htm,935,116.5,47
Vapor Trail,Sesame Place,1299.2 ft,43 ft,27 mph,https://rcdb.com/487.htm,1299.2,43,27
Oscar's Wacky Taxi,Sesame Place,1205 ft,43 ft,34 mph,https://rcdb.com/15486.htm,1205,43,34
Zippin Pippin,Bay Beach Amusement Park,2347 ft,70 ft,42 mph,https://rcdb.com/9088.htm,2347,70,42
Runaway Train,Gillian's Wonderland Pier,944.9 ft,42.7 ft,31.3 mph,https://rcdb.com/2966.htm,944.9,42.7,31.3
Roller Coaster,Playtime Family Fun,300 ft,13 ft,10 mph,https://rcdb.com/20980.htm,300,13,10
Iron Shark,Galveston Island Historic Pleasure Pier,1246 ft,100 ft,52 mph,https://rcdb.com/10290.htm,1246,100,52
Big Apple Coaster,"New York, New York Hotel &amp; Casino",4777 ft,203 ft,67 mph,https://rcdb.com/139.htm,4777,203,67
FunCoaster,Funplex,1017.1 ft,36.1 ft,26.7 mph,https://rcdb.com/11294.htm,1017.1,36.1,26.7
Switchback,ZDT'S Amusement Park,1196 ft,64 ft,41 mph,https://rcdb.com/12392.htm,1196,64,41
Expedition Everest,Walt Disney World - Disney's Animal Kingdom,3884.5 ft,112 ft,50 mph,https://rcdb.com/2389.htm,3884.5,112,50
Primeval Whirl,Walt Disney World - Disney's Animal Kingdom,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/1566.htm,1377.9,42.7,29.1
Primeval Whirl,Walt Disney World - Disney's Animal Kingdom,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/1868.htm,1377.9,42.7,29.1
Speedway Coaster,NASCAR SpeedPark,413.4 ft,14.8 ft,18.6 mph,https://rcdb.com/2780.htm,413.4,14.8,18.6
Live Oak Ladybug,Carousel Gardens,652.9 ft,19.7 ft,19.9 mph,https://rcdb.com/381.htm,652.9,19.7,19.9
Prairie Screamer,Prairie Playland,2600 ft,90 ft,50 mph,https://rcdb.com/19262.htm,2600,90,50
Hurricane,Race City PCB,1427 ft,59 ft,35 mph,https://rcdb.com/12397.htm,1427,59,35
Boardwalk Bullet,Kemah Boardwalk,3236 ft,96 ft,51 mph,https://rcdb.com/3757.htm,3236,96,51
Giant Dipper,Belmont Park,2600 ft,73 ft,55 mph,https://rcdb.com/203.htm,2600,73,55
Mineshaft Coaster,Alpine Slide at Magic Mountain,5280 ft,24 ft,27 mph,https://rcdb.com/18493.htm,5280,24,27
Kombo,Indianapolis Zoo,652.9 ft,19.7 ft,19.9 mph,https://rcdb.com/739.htm,652.9,19.7,19.9
Santa Monica West Coaster,Pacific Park,1300 ft,55 ft,35 mph,https://rcdb.com/434.htm,1300,55,35
Tsunami,Scene75 Entertainment Center,393.7 ft,20 ft,11.2 mph,https://rcdb.com/18301.htm,393.7,20,11.2
Desperado,Buffalo Bill's Resort &amp; Casino,5843 ft,209 ft,80 mph,https://rcdb.com/103.htm,5843,209,80
Outlaw Mountain Coaster,Steamboat Resort,6281.1 ft,40 ft,26.7 mph,https://rcdb.com/14824.htm,6281.1,40,26.7
Crazy Mouse,Motor World,1377.9 ft,42.7 ft,29.1 mph,https://rcdb.com/714.htm,1377.9,42.7,29.1
Cannonball Run,Waterville USA,1700 ft,65 ft,43 mph,https://rcdb.com/360.htm,1700,65,43
Wildcat,Wild Island,900 ft,38 ft,35 mph,https://rcdb.com/514.htm,900,38,35
Shooting Star,Coney Island,2950 ft,88 ft,43 mph,https://rcdb.com/2040.htm,2950,88,43
Racer,Kings Island,3415 ft,88 ft,53 mph,https://rcdb.com/69.htm,3415,88,53
Great Pumpkin Coaster,Kings Island,199.3 ft,8 ft,NA,https://rcdb.com/74.htm,199.3,8,NA
Bavarian Beetle,Kings Island,800 ft,45 ft,NA,https://rcdb.com/626.htm,800,45,NA
Scooby's Ghoster Coaster,Kings Island,NA,35 ft,8 mph,https://rcdb.com/505.htm,NA,35,8
Superman: Escape from Krypton,Six Flags Magic Mountain,1235 ft,415 ft,100 mph,https://rcdb.com/140.htm,1235,415,100
Canyon Blaster,Six Flags Magic Mountain,416 ft,16 ft,NA,https://rcdb.com/576.htm,416,16,NA
Speedy Gonzales Hot Rod Racers,Six Flags Magic Mountain,262.5 ft,13.1 ft,NA,https://rcdb.com/9971.htm,262.5,13.1,NA
Colossus,Six Flags Magic Mountain,4325 ft,125 ft,62 mph,https://rcdb.com/26.htm,4325,125,62
Psyclone,Six Flags Magic Mountain,NA,95 ft,50 mph,https://rcdb.com/27.htm,NA,95,50
Shockwave,Six Flags Magic Mountain,2300 ft,90 ft,NA,https://rcdb.com/51.htm,2300,90,NA
Gemini,Cedar Point,3935 ft,125.3 ft,60 mph,https://rcdb.com/14.htm,3935,125.3,60
Broadway Trip,Cedar Point,NA,NA,NA,https://rcdb.com/2362.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/18488.htm,NA,NA,NA
Wildcat,Cedar Point,NA,NA,NA,https://rcdb.com/114.htm,NA,NA,NA
Jumbo Jet,Cedar Point,NA,NA,NA,https://rcdb.com/355.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/1580.htm,NA,NA,NA
Wild Mouse,Cedar Point,1300 ft,NA,NA,https://rcdb.com/1781.htm,1300,NA,NA
Scamper,Cedar Point,NA,NA,NA,https://rcdb.com/1782.htm,NA,NA,NA
Super Coaster,Cedar Point,NA,NA,NA,https://rcdb.com/1848.htm,NA,NA,NA
NA,NA,NA,75 ft,NA,https://rcdb.com/1849.htm,NA,75,NA
NA,NA,NA,NA,NA,https://rcdb.com/1850.htm,NA,NA,NA
NA,NA,NA,46 ft,NA,https://rcdb.com/1851.htm,NA,46,NA
NA,NA,4200 ft,33 ft,NA,https://rcdb.com/1852.htm,4200,33,NA
NA,NA,2500 ft,46 ft,NA,https://rcdb.com/1853.htm,2500,46,NA
NA,NA,NA,25 ft,10 mph,https://rcdb.com/1854.htm,NA,25,10
Flash: Vertical Velocity,Six Flags Great Adventure,1430.4 ft,NA,59 mph,https://rcdb.com/21088.htm,1430.4,NA,59
Dark Knight,Six Flags Great Adventure,1213 ft,NA,NA,https://rcdb.com/4047.htm,1213,NA,NA
Lil' Devil Coaster,Six Flags Great Adventure,262.5 ft,13 ft,NA,https://rcdb.com/19460.htm,262.5,13,NA
Runaway Mine Train,Six Flags Great Adventure,NA,60 ft,38 mph,https://rcdb.com/131.htm,NA,60,38
NA,NA,NA,NA,NA,https://rcdb.com/1655.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/1656.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/1833.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/1834.htm,NA,NA,NA
Road Runner Railway,Six Flags Great Adventure,262.5 ft,13 ft,NA,https://rcdb.com/566.htm,262.5,13,NA
Rolling Thunder,Six Flags Great Adventure,3200 ft,96 ft,56 mph,https://rcdb.com/132.htm,3200,96,56
Batman And Robin: The Chiller,Six Flags Great Adventure,1137 ft,200 ft,65 mph,https://rcdb.com/424.htm,1137,200,65
Shockwave,Six Flags Great Adventure,2300 ft,90 ft,NA,https://rcdb.com/52.htm,2300,90,NA
NA,NA,NA,NA,NA,https://rcdb.com/2899.htm,NA,NA,NA
American Eagle,Six Flags Great America,4650 ft,127 ft,66 mph,https://rcdb.com/9.htm,4650,127,66
Dark Knight,Six Flags Great America,1213 ft,NA,NA,https://rcdb.com/4046.htm,1213,NA,NA
Little Dipper,Six Flags Great America,700 ft,28 ft,NA,https://rcdb.com/8985.htm,700,28,NA
X-Flight,Six Flags Great America,3000 ft,NA,55 mph,https://rcdb.com/10137.htm,3000,NA,55
NA,NA,NA,NA,NA,https://rcdb.com/2300.htm,NA,NA,NA
Woodstock Express,Carowinds,1356 ft,NA,NA,https://rcdb.com/82.htm,1356,NA,NA
Carolina Goldrusher,Carowinds,2397 ft,NA,NA,https://rcdb.com/83.htm,2397,NA,NA
Wilderness Run,Carowinds,416 ft,16 ft,NA,https://rcdb.com/498.htm,416,16,NA
Thunder Road,Carowinds,3819 ft,93 ft,58 mph,https://rcdb.com/84.htm,3819,93,58
Runaway Mine Train,Six Flags Over Texas,2485 ft,35 ft,NA,https://rcdb.com/30.htm,2485,35,NA
Mini Mine Train,Six Flags Over Texas,910 ft,20 ft,NA,https://rcdb.com/97.htm,910,20,NA
Wile E. Coyote's Grand Canyon Blaster,Six Flags Over Texas,NA,16.1 ft,NA,https://rcdb.com/1117.htm,NA,16.1,NA
NA,NA,NA,NA,NA,https://rcdb.com/1120.htm,NA,NA,NA
Trailblazer,Hersheypark,NA,NA,NA,https://rcdb.com/107.htm,NA,NA,NA
Sooperdooperlooper,Hersheypark,2614 ft,NA,NA,https://rcdb.com/108.htm,2614,NA,NA
Lightning Racer,Hersheypark,3393 ft,91.6 ft,51.1 mph,https://rcdb.com/597.htm,3393,91.6,51.1
Cocoa Cruiser,Hersheypark,NA,NA,NA,https://rcdb.com/11833.htm,NA,NA,NA
Laff Trakk,Hersheypark,1400 ft,NA,40 mph,https://rcdb.com/12270.htm,1400,NA,40
NA,NA,NA,NA,NA,https://rcdb.com/2881.htm,NA,NA,NA
NA,NA,2331 ft,NA,NA,https://rcdb.com/2029.htm,2331,NA,NA
Toboggan,Hersheypark,450 ft,45 ft,NA,https://rcdb.com/2030.htm,450,45,NA
Toboggan,Hersheypark,450 ft,45 ft,NA,https://rcdb.com/2031.htm,450,45,NA
Kid Flash Cosmic Coaster,Six Flags Over Georgia,591.8 ft,NA,NA,https://rcdb.com/20602.htm,591.8,NA,NA
Joker Funhouse Coaster,Six Flags Over Georgia,900 ft,NA,30 mph,https://rcdb.com/2655.htm,900,NA,30
Mini-Mine Train,Six Flags Over Georgia,NA,NA,NA,https://rcdb.com/1222.htm,NA,NA,NA
Racer 75,Kings Dominion,3368.5 ft,85 ft,56 mph,https://rcdb.com/88.htm,3368.5,85,56
Grizzly,Kings Dominion,3150 ft,87 ft,NA,https://rcdb.com/90.htm,3150,87,NA
Reptilian,Kings Dominion,NA,NA,41 mph,https://rcdb.com/282.htm,NA,NA,41
Great Pumpkin Coaster,Kings Dominion,NA,NA,NA,https://rcdb.com/456.htm,NA,NA,NA
Galaxi,Kings Dominion,NA,NA,NA,https://rcdb.com/710.htm,NA,NA,NA
Kid Flash Cosmic Coaster,Six Flags Fiesta Texas,591.8 ft,24.5 ft,NA,https://rcdb.com/20548.htm,591.8,24.5,NA
Streamliner Coaster,Six Flags Fiesta Texas,278.9 ft,NA,NA,https://rcdb.com/207.htm,278.9,NA,NA
Road Runner Express,Six Flags Fiesta Texas,2400 ft,73 ft,NA,https://rcdb.com/265.htm,2400,73,NA
Great Chase,Six Flags New England,NA,NA,NA,https://rcdb.com/183.htm,NA,NA,NA
Pandemonium,Six Flags New England,NA,42 ft,NA,https://rcdb.com/3031.htm,NA,42,NA
NA,NA,NA,NA,NA,https://rcdb.com/2291.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/3152.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/3153.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/3154.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/3346.htm,NA,NA,NA
Dark Knight,Six Flags New England,1213 ft,NA,NA,https://rcdb.com/4319.htm,1213,NA,NA
WildCat,Six Flags New England,NA,NA,NA,https://rcdb.com/705.htm,NA,NA,NA
Little Rickies Little Twister,Six Flags New England,NA,NA,NA,https://rcdb.com/184.htm,NA,NA,NA
Jet Star 2,Lagoon,1919.3 ft,44.3 ft,NA,https://rcdb.com/198.htm,1919.3,44.3,NA
Primordial,Lagoon,NA,NA,NA,https://rcdb.com/17035.htm,NA,NA,NA
Little Roller Coaster,Lagoon,NA,NA,NA,https://rcdb.com/2726.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/2727.htm,NA,NA,NA
New Wilder Wild Mouse,Lagoon,NA,NA,NA,https://rcdb.com/10257.htm,NA,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/1751.htm,NA,NA,NA
Grover's Alpine Express,Busch Gardens Williamsburg,600 ft,24 ft,NA,https://rcdb.com/4282.htm,600,24,NA
DarKoaster,Busch Gardens Williamsburg,2454 ft,NA,36 mph,https://rcdb.com/7706.htm,2454,NA,36
InvadR,Busch Gardens Williamsburg,2118 ft,NA,48 mph,https://rcdb.com/8027.htm,2118,NA,48
Verbolten,Busch Gardens Williamsburg,2835 ft,NA,53 mph,https://rcdb.com/9463.htm,2835,NA,53
Glissade,Busch Gardens Williamsburg,NA,NA,NA,https://rcdb.com/1116.htm,NA,NA,NA
Das Kätzchen,Busch Gardens Williamsburg,NA,NA,NA,https://rcdb.com/1936.htm,NA,NA,NA
Die Wildkatze,Busch Gardens Williamsburg,1509.2 ft,44.3 ft,NA,https://rcdb.com/396.htm,1509.2,44.3,NA
Roadrunner Express,Six Flags Discovery Kingdom,262.5 ft,13 ft,NA,https://rcdb.com/572.htm,262.5,13,NA
NA,NA,2876 ft,81 ft,52 mph,https://rcdb.com/2167.htm,2876,81,52
NA,NA,2349 ft,32 ft,37 mph,https://rcdb.com/587.htm,2349,32,37
Rockin' Roller,Six Flags St. Louis,NA,NA,NA,https://rcdb.com/599.htm,NA,NA,NA
Wild Eagle,Dollywood,3127 ft,NA,61 mph,https://rcdb.com/10148.htm,3127,NA,61
Lightning Rod,Dollywood,3800 ft,NA,73 mph,https://rcdb.com/13369.htm,3800,NA,73
Whistle Punk Chaser,Dollywood,NA,NA,NA,https://rcdb.com/14382.htm,NA,NA,NA
Dragonflier,Dollywood,1486.2 ft,NA,NA,https://rcdb.com/16124.htm,1486.2,NA,NA
Scamper,Dollywood,NA,NA,NA,https://rcdb.com/16104.htm,NA,NA,NA
Great Chase,Six Flags America,262.5 ft,13 ft,NA,https://rcdb.com/568.htm,262.5,13,NA
The Great Alonzo's Cannonball Coaster,Six Flags America,NA,12 ft,NA,https://rcdb.com/150.htm,NA,12,NA
Woodstock Express,California's Great America,1300 ft,NA,NA,https://rcdb.com/78.htm,1300,NA,NA
Lucy's Crabbie Cabbies,California's Great America,NA,NA,NA,https://rcdb.com/536.htm,NA,NA,NA
Psycho Mouse,California's Great America,1257 ft,NA,NA,https://rcdb.com/1036.htm,1257,NA,NA
Gulf Coaster,California's Great America,NA,NA,NA,https://rcdb.com/2301.htm,NA,NA,NA
Coast Rider,Knott's Berry Farm,1339 ft,52 ft,NA,https://rcdb.com/11074.htm,1339,52,NA
Timberline Twister,Knott's Berry Farm,480 ft,30 ft,NA,https://rcdb.com/293.htm,480,30,NA
Windjammer Surf Racers,Knott's Berry Farm,1851 ft,69 ft,40 mph,https://rcdb.com/294.htm,1851,69,40
Wacky Soap Box Racers,Knott's Berry Farm,1778 ft,27 ft,30 mph,https://rcdb.com/1333.htm,1778,27,30
Air Grover,Busch Gardens Tampa,NA,NA,NA,https://rcdb.com/8632.htm,NA,NA,NA
Gwazi,Busch Gardens Tampa,3508 ft,105.4 ft,51 mph,https://rcdb.com/533.htm,3508,105.4,51
Tickler,Luna Park,1377.9 ft,NA,NA,https://rcdb.com/9251.htm,1377.9,NA,NA
Mini Mouse,Luna Park,NA,NA,NA,https://rcdb.com/18703.htm,NA,NA,NA
Dragon Wagon,Luna Park,NA,NA,NA,https://rcdb.com/9426.htm,NA,NA,NA
Big Apple,Luna Park,NA,NA,NA,https://rcdb.com/284.htm,NA,NA,NA
NA,NA,900 ft,NA,NA,https://rcdb.com/3036.htm,900,NA,NA
NA,NA,NA,NA,NA,https://rcdb.com/3450.htm,NA,NA,NA
Cosmic Coaster,Valleyfair!,213.3 ft,NA,NA,https://rcdb.com/9837.htm,213.3,NA,NA
Mild Thing,Valleyfair!,NA,NA,NA,https://rcdb.com/425.htm,NA,NA,NA
Rails,Valleyfair!,NA,NA,NA,https://rcdb.com/115.htm,NA,NA,NA
unknown,Six Flags Darien Lake,2300 ft,90 ft,NA,https://rcdb.com/3472.htm,2300,90,NA
NA,NA,1765.1 ft,44.3 ft,31.1 mph,https://rcdb.com/444.htm,1765.1,44.3,31.1
