ride_name,ride_url,park_url,length_ft,height_ft,speed_mph,park_name,year_active,park_operator
afterburn,https://rcdb.com/527.htm,https://rcdb.com/4542.htm,2956,113,62,carowinds,2021,cedar_fair
afterburn,https://rcdb.com/527.htm,https://rcdb.com/4542.htm,2956,113,62,carowinds,2022,cedar_fair
afterburn,https://rcdb.com/527.htm,https://rcdb.com/4542.htm,2956,113,62,carowinds,2023,cedar_fair
alpen_blitz,https://rcdb.com/1656.htm,https://rcdb.com/4534.htm,NA,NA,NA,six_flags_great_adventure,1976,six_flags
alpen_blitz,https://rcdb.com/1656.htm,https://rcdb.com/4534.htm,NA,NA,NA,six_flags_great_adventure,1977,six_flags
alpen_blitz,https://rcdb.com/1656.htm,https://rcdb.com/4534.htm,NA,NA,NA,six_flags_great_adventure,1978,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,1998,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,1999,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2000,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2001,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2002,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2003,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2004,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2005,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2006,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2007,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2008,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2009,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2010,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2011,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2012,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2013,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2014,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2015,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2016,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2017,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2018,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2019,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2020,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2021,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2022,six_flags
alpine_bobsled,https://rcdb.com/495.htm,https://rcdb.com/4596.htm,1490,64,35,six_flags_great_escape,2023,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1981,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1982,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1983,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1984,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1985,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1986,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1987,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1988,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1989,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1990,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1991,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1992,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1993,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1994,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1995,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1996,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1997,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1998,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,1999,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2000,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2001,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2002,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2003,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2004,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2005,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2006,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2007,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2008,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2009,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2010,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2011,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2012,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2013,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2014,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2015,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2016,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2017,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2018,six_flags
american_eagle,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,4650,127,66,six_flags_great_america,2019,six_flags
